面对离异家庭的学生应该怎么办？,面对离异家庭的学生应该怎么办？
教室要如何做才能从本质上改变后进生的学习态度？,教室要如何做才能从本质上改变后进生的学习态度？
我认为教师的工作就没有办法量化考核，就那点可怜的工资为什么还要拿走一部分当绩效工资？,我认为教师的工作就没有办法量化考核，就那点可怜的工资为什么还要拿走一部分当绩效工资？
大家可以谈谈学生发展核心素养对我们教师提出了什么新的要求吗？谢谢,大家可以谈谈学生发展核心素养对我们教师提出了什么新的要求吗？谢谢
学生怎么合理安排课余学习时间？,学生怎么合理安排课余学习时间？
假期如何督促学生学习？,假期如何督促学生学习？
视频中讲到学生心理问题的一般特征有：（1）行为不足。这是指人们所期望的行为很少发生或从不发生。（2）行为过度。指某一类行为出现得太多。（3）行为不适当。指某些心理表现或行为在不适宜的情境中产生，但在适宜的条件下却又不发生。您在教学中是否遇到这样的问题，您现在有了一个新的认识吗？,视频中讲到学生心理问题的一般特征有：（1）行为不足。这是指人们所期望的行为很少发生或从不发生。（2）行为过度。指某一类行为出现得太多。（3）行为不适当。指某些心理表现或行为在不适宜的情境中产生，但在适宜的条件下却又不发生。您在教学中是否遇到这样的问题，您现在有了一个新的认识吗？
在教学管理中，有一个学习较好的学生，但却非常自私自利，在今天下午班级大扫除时，作为班长的她，自己一个人坐在座位上学习，我非常生气，但因为马上中考，我又忍住没发火，各位同事，你们如果遇到这样的情况，该怎样处理？,在教学管理中，有一个学习较好的学生，但却非常自私自利，在今天下午班级大扫除时，作为班长的她，自己一个人坐在座位上学习，我非常生气，但因为马上中考，我又忍住没发火，各位同事，你们如果遇到这样的情况，该怎样处理？
孩子上课好动，该怎么办?,孩子上课好动，该怎么办?
期末学生都很浮躁，如何让学生静心对待总复习,期末学生都很浮躁，如何让学生静心对待总复习
如何管理好差下生，使之进步？,如何管理好差下生，使之进步？
老师们：怎样提高孩子的作文水平？,老师们：怎样提高孩子的作文水平？
怎样做好留守儿童的思想教育？,怎样做好留守儿童的思想教育？
家长为什么会站在老师的对立面？这样做对他孩子的教育有好处吗？问题家长一定会造化出一个问题孩子。,家长为什么会站在老师的对立面？这样做对他孩子的教育有好处吗？问题家长一定会造化出一个问题孩子。
他和爷爷奶奶住在一起，父母离异都有了新的家庭。他和妈妈一起生活，父母在他上小学1年级的时候就分开了。他的父母常年争吵，常把离婚挂在嘴边。他的妈妈特别凶，他从来不敢说出自己的心里话。他们在班级中或许不太爱说话，或许调皮捣蛋永远不听话，或许不学习还扰乱别人学习……家庭也是孩子受教育的重要场所，在家庭关系破裂等不和谐环境中成长的孩子，我们到底应该怎样帮助和教育他们？,他和爷爷奶奶住在一起，父母离异都有了新的家庭。他和妈妈一起生活，父母在他上小学1年级的时候就分开了。他的父母常年争吵，常把离婚挂在嘴边。他的妈妈特别凶，他从来不敢说出自己的心里话。他们在班级中或许不太爱说话，或许调皮捣蛋永远不听话，或许不学习还扰乱别人学习……家庭也是孩子受教育的重要场所，在家庭关系破裂等不和谐环境中成长的孩子，我们到底应该怎样帮助和教育他们？
怎样才能让留守学生5+2≠0即学校5天的学习效果，到周末时便从0开始。,怎样才能让留守学生5+2≠0即学校5天的学习效果，到周末时便从0开始。
当孩子沉迷手机游戏时，应该怎样有效沟通？,当孩子沉迷手机游戏时，应该怎样有效沟通？
如何激发孩子们读书的兴趣？,如何激发孩子们读书的兴趣？
班上一个男孩子(二年级)，头脑较灵活，但爱给他人取外号，爱说一些脏话、坏话，爱动手弄别人，不太受约束，比较自我，经过坚持不懈的学校教育和家校结合教育，有进步，但反复，请问怎么做？,班上一个男孩子(二年级)，头脑较灵活，但爱给他人取外号，爱说一些脏话、坏话，爱动手弄别人，不太受约束，比较自我，经过坚持不懈的学校教育和家校结合教育，有进步，但反复，请问怎么做？
11模块三课程讨论:您认为在帮助问题学生时最关键的是什么？,11模块三课程讨论:您认为在帮助问题学生时最关键的是什么？
学生不小心磕伤，其爷爷、奶奶、爸爸、妈妈齐到校兴师问罪，应怎样处理较合适?,学生不小心磕伤，其爷爷、奶奶、爸爸、妈妈齐到校兴师问罪，应怎样处理较合适?
为了进一步培养学生的自主管理和自我教育的能力，我校准备通过竞聘上岗的方式选拔一批优秀学生组建学生会，请问怎样有效指导初中生学生会干部开展工作？,为了进一步培养学生的自主管理和自我教育的能力，我校准备通过竞聘上岗的方式选拔一批优秀学生组建学生会，请问怎样有效指导初中生学生会干部开展工作？
班上有个男孩，很聪明，但是特懒惰，不能按时完成作业，成绩还可以，我多次找他谈话，但是效果不是很好，令我很是头疼！,班上有个男孩，很聪明，但是特懒惰，不能按时完成作业，成绩还可以，我多次找他谈话，但是效果不是很好，令我很是头疼！
如何引导孩子树立正确的人生观?,如何引导孩子树立正确的人生观?
如何基于培养学生核心素养开展班级活动？,如何基于培养学生核心素养开展班级活动？
怎么让孩子喜欢哲学？,怎么让孩子喜欢哲学？
对于每个孩子的闪光点，怎样因势导利？,对于每个孩子的闪光点，怎样因势导利？
评价一个好老师的标准是什么？,评价一个好老师的标准是什么？
行动计划对学校有考核吗？有的话怎么考核呢？,行动计划对学校有考核吗？有的话怎么考核呢？
"请大家分享一下""怎样实施差异性教学？""谢谢！","请大家分享一下""怎样实施差异性教学？""谢谢！"
音乐课纪律不好怎么办？学生不愿意学习乐理知识，不喜欢上欣赏课怎么办？,音乐课纪律不好怎么办？学生不愿意学习乐理知识，不喜欢上欣赏课怎么办？
无论怎么教，还是有一部分学生不会拼拼音，怎么样才能让学生学会拼音？,无论怎么教，还是有一部分学生不会拼拼音，怎么样才能让学生学会拼音？
孩子们上课爱讲小话，怎么办？,孩子们上课爱讲小话，怎么办？
探讨一下信息技术支撑下如何发展共同体,探讨一下信息技术支撑下如何发展共同体
一个班级的学生作文都一个内容，这样教学对吗？让孩子都背一样的文章？,一个班级的学生作文都一个内容，这样教学对吗？让孩子都背一样的文章？
不守信用的孩子怎么教育？,不守信用的孩子怎么教育？
孩子8岁了，每周回一次家，每次离家去上学都一直哭怎么办？拉都拉不动。,孩子8岁了，每周回一次家，每次离家去上学都一直哭怎么办？拉都拉不动。
教学是一门艺术，好的课堂是一种享受。我的课堂有意思吗？激活课堂、激发学习兴趣你都有哪些教学策略和方法？,教学是一门艺术，好的课堂是一种享受。我的课堂有意思吗？激活课堂、激发学习兴趣你都有哪些教学策略和方法？
有木有上过这节课，老师们，求助课件及教学设计，公开课。,有木有上过这节课，老师们，求助课件及教学设计，公开课。
我班有一个女生（六年级），数学课上她身体总是这里那里的不舒服，一会儿吵头痛，一huier肚子疼……学习自然就不好。可是，一说到跳舞，学校开展的文艺活动，她却如鱼得水，而且跳得特别好！（我经常请她领舞，也常常跟着她跳课间舞）一天，她课堂上又趴在桌子上，我说：你像跳舞那样对待学习！道理讲理一箩筐，家长也常联系，沟通，可是收效甚微！请大家帮忙出主意,我班有一个女生（六年级），数学课上她身体总是这里那里的不舒服，一会儿吵头痛，一huier肚子疼……学习自然就不好。可是，一说到跳舞，学校开展的文艺活动，她却如鱼得水，而且跳得特别好！（我经常请她领舞，也常常跟着她跳课间舞）一天，她课堂上又趴在桌子上，我说：你像跳舞那样对待学习！道理讲理一箩筐，家长也常联系，沟通，可是收效甚微！请大家帮忙出主意
高质量的英语寒假作业是什么？,高质量的英语寒假作业是什么？
有什么好方法让学生爱上阅读呢？,有什么好方法让学生爱上阅读呢？
学生上课注意力不集中怎么办？,学生上课注意力不集中怎么办？
小学三年级，有这样一类学困生，课上捣乱，不学习，课下作业拖拉不交。找他们谈话总是闷不吭声。和家长沟通，家长也比较溺爱孩子，总是说在家也要求他写作业了。可是这样的孩子一点改变也没有。上课自制力很差。该不听还是不听。作为班主任也比较头疼，给他们自信心，又不能时时刻刻盯着？各位前辈们，这样的事情该如何是好？,小学三年级，有这样一类学困生，课上捣乱，不学习，课下作业拖拉不交。找他们谈话总是闷不吭声。和家长沟通，家长也比较溺爱孩子，总是说在家也要求他写作业了。可是这样的孩子一点改变也没有。上课自制力很差。该不听还是不听。作为班主任也比较头疼，给他们自信心，又不能时时刻刻盯着？各位前辈们，这样的事情该如何是好？
周末也是上班时间醒来，你呢？,周末也是上班时间醒来，你呢？
针对智商高但不爱写作业这样的孩子怎样教育？,针对智商高但不爱写作业这样的孩子怎样教育？
根据您的专业知识及工作经验，针对具体的问题描述您现阶段所教学生的年级，及其在您课堂上表现出来的思维特点，并写下您认为1-2个适合这样思维特点的教学方法或技巧。,根据您的专业知识及工作经验，针对具体的问题描述您现阶段所教学生的年级，及其在您课堂上表现出来的思维特点，并写下您认为1-2个适合这样思维特点的教学方法或技巧。
从教这么多年来，一直有一个问题困扰着我:在同一节课上，优等生总是迅速完成学习任务，甚至再布置的高难任务都完成了，而学困生只是完成一点点，此时该让优等生做些什么呢？,从教这么多年来，一直有一个问题困扰着我:在同一节课上，优等生总是迅速完成学习任务，甚至再布置的高难任务都完成了，而学困生只是完成一点点，此时该让优等生做些什么呢？
学生上课接话严重，怎么办，，.，，,学生上课接话严重，怎么办，，.，，
周长相等的长方形和平行四边形谁的面积大？,周长相等的长方形和平行四边形谁的面积大？
小学六年级的学生对老师发布的任务置若罔闻，还干扰其他学生完成，不停的说些与课堂教学无关的话，与之沟通东拉西扯，哪位同仁有解决此类问题的高招？,小学六年级的学生对老师发布的任务置若罔闻，还干扰其他学生完成，不停的说些与课堂教学无关的话，与之沟通东拉西扯，哪位同仁有解决此类问题的高招？
怎样让一年级新生学会识谱,怎样让一年级新生学会识谱
怎样才能教好一年级的拼音，尤其是带调拼读音节。班里的学生看着声调读出来的确实另一个调。,怎样才能教好一年级的拼音，尤其是带调拼读音节。班里的学生看着声调读出来的确实另一个调。
班主任在管理班级时总会遇到学生因为一点小事发生摩擦，很多时候学生不懂得如何控制自己的情绪，冲动之下就会发生打架事件。老师通常以严厉批评或耐心劝慰的方式来处理冲突，但处理好学生的情绪并不是一件简单的事，面对缺乏情绪控制能力的学生，可能引导学生提高人际沟通能力比解决事件本身更加重要。在处理学生因情绪问题发生的言语及身体冲突事件时，有哪些好的策略和办法？,班主任在管理班级时总会遇到学生因为一点小事发生摩擦，很多时候学生不懂得如何控制自己的情绪，冲动之下就会发生打架事件。老师通常以严厉批评或耐心劝慰的方式来处理冲突，但处理好学生的情绪并不是一件简单的事，面对缺乏情绪控制能力的学生，可能引导学生提高人际沟通能力比解决事件本身更加重要。在处理学生因情绪问题发生的言语及身体冲突事件时，有哪些好的策略和办法？
写字犹如人的第二张脸，可见写字的重要性，但是现在每天都在紧张的忙碌着，孩子们写字时就有些心不在焉，怎样能让孩子们养成“动笔就是练字时”的好习惯呢？请大家献计献策！多谢！！！,写字犹如人的第二张脸，可见写字的重要性，但是现在每天都在紧张的忙碌着，孩子们写字时就有些心不在焉，怎样能让孩子们养成“动笔就是练字时”的好习惯呢？请大家献计献策！多谢！！！
家庭是孩子的重要教育场所，家长不仅是孩子的第一任老师，也是孩子的终身老师。家长的教育理念很大程度上影响着孩子的整体发展，然而，一些家长缺乏正确的育人理念，对教育的理解较为狭隘。作为教师不仅需要教育孩子，更应该关注如何引导家长树立正确的教育观念，从而共同助力孩子的健康成长。,家庭是孩子的重要教育场所，家长不仅是孩子的第一任老师，也是孩子的终身老师。家长的教育理念很大程度上影响着孩子的整体发展，然而，一些家长缺乏正确的育人理念，对教育的理解较为狭隘。作为教师不仅需要教育孩子，更应该关注如何引导家长树立正确的教育观念，从而共同助力孩子的健康成长。
孩子学数学没信心很吃力，你说她不会又会，但是经过转校后，分数下降厉害，真是没招～,孩子学数学没信心很吃力，你说她不会又会，但是经过转校后，分数下降厉害，真是没招～
孩子上课总睡觉怎么办？,孩子上课总睡觉怎么办？
假期电子产品使用过度，电视、电脑、手机、平板……让孩子们不能自已，难以自拔。如何监管？,假期电子产品使用过度，电视、电脑、手机、平板……让孩子们不能自已，难以自拔。如何监管？
老师，备案除了知识点，最需要考虑的是什么,老师，备案除了知识点，最需要考虑的是什么
各位亲们：家庭教育在小学教育中起着至关重要的作用，但还有很多家长意识不到，单靠家长会作用不大，该怎么解决？,各位亲们：家庭教育在小学教育中起着至关重要的作用，但还有很多家长意识不到，单靠家长会作用不大，该怎么解决？
如何促进班上动作慢悠悠的孩子？,如何促进班上动作慢悠悠的孩子？
现在的学生不比我们那时，自觉性很差，听课的注意力更不集中，如何能改善这一点？,现在的学生不比我们那时，自觉性很差，听课的注意力更不集中，如何能改善这一点？
请问，在参赛课上有个环节是辩论会，如何掌控，辩论时需要教师提前做什么准备？,请问，在参赛课上有个环节是辩论会，如何掌控，辩论时需要教师提前做什么准备？
对于班级中经常不做作业的学生，应该采取怎样有效的措施？,对于班级中经常不做作业的学生，应该采取怎样有效的措施？
身为一名小学信息技术青年教师，大学毕业走上教师路。在上大学时，就不太喜欢自己的专业，考教师的初衷就是因为自己专业没学好，但是喜欢小孩子，享受他们给自己带来的成就感。现在从教信息岗1年多，虽然不喜欢，但是也只能接受，尽力做好。现在想想自己离初衷已越来越远。想教语文或者数学，但是学校不同意，不知道现在该怎么办。,身为一名小学信息技术青年教师，大学毕业走上教师路。在上大学时，就不太喜欢自己的专业，考教师的初衷就是因为自己专业没学好，但是喜欢小孩子，享受他们给自己带来的成就感。现在从教信息岗1年多，虽然不喜欢，但是也只能接受，尽力做好。现在想想自己离初衷已越来越远。想教语文或者数学，但是学校不同意，不知道现在该怎么办。
请问各位教师朋友:如何开展优秀的班级文建设?,请问各位教师朋友:如何开展优秀的班级文建设?
一年级新生做作业老是拖拖拉拉的怎么办？,一年级新生做作业老是拖拖拉拉的怎么办？
如何对待不完成作业的孩子？,如何对待不完成作业的孩子？
我的父母都不管我，你管我干什么？,我的父母都不管我，你管我干什么？
学生很喜欢和老师聊天，但是所有的问题都和学习没有关系，教师怎么把学生这份聊天的热情引导到学习上呢？,学生很喜欢和老师聊天，但是所有的问题都和学习没有关系，教师怎么把学生这份聊天的热情引导到学习上呢？
请问，学生不想上学，出现了厌学的状态，怎么办？,请问，学生不想上学，出现了厌学的状态，怎么办？
多读课外书对于语文知识的学习和掌握的帮助是不言而喻的，从一年级入学以来，一直多次跟家长强调读书的重要性，也经常在班级用各种方式鼓励孩子多读书，例如读书卡，读书笔记完成的较好的，阅读方面进步大的同学进行物质鼓励和精神表扬。但是班级仍有将近三分之一的孩子在课外阅读上毫无起色，家长在亲子阅读上也不是很配合，日积月累下来，语文成绩的两极分化越来越严重！请专家指导！伊春实验孙延秋,多读课外书对于语文知识的学习和掌握的帮助是不言而喻的，从一年级入学以来，一直多次跟家长强调读书的重要性，也经常在班级用各种方式鼓励孩子多读书，例如读书卡，读书笔记完成的较好的，阅读方面进步大的同学进行物质鼓励和精神表扬。但是班级仍有将近三分之一的孩子在课外阅读上毫无起色，家长在亲子阅读上也不是很配合，日积月累下来，语文成绩的两极分化越来越严重！请专家指导！伊春实验孙延秋
一生的等文/与你相识在人海寻觅昨天的你一颗心，在红尘里思念这城市，多少回忆落进泪雨用千年的期盼，等一个回眸叹红尘，多少承诺埋雨里多少春来秋去，淹没在叹息岁月如歌，仍在梦里盼相聚思念的笔触，落在风雨里下个轮回里，有没有你还在回眸里，你还是最美昨日的缠绵，哪颗星愿意听留下了孤单，让爱来演绎,一生的等文/与你相识在人海寻觅昨天的你一颗心，在红尘里思念这城市，多少回忆落进泪雨用千年的期盼，等一个回眸叹红尘，多少承诺埋雨里多少春来秋去，淹没在叹息岁月如歌，仍在梦里盼相聚思念的笔触，落在风雨里下个轮回里，有没有你还在回眸里，你还是最美昨日的缠绵，哪颗星愿意听留下了孤单，让爱来演绎
如何安抚考生成绩不理想,如何安抚考生成绩不理想
如果学生没有在规定的时间内完成背诵任务，有什么好的方法解决吗？,如果学生没有在规定的时间内完成背诵任务，有什么好的方法解决吗？
回顾自己的教学工作，描述一件产生情绪的真实故事，并说明当时采取的有效措施是什么。,回顾自己的教学工作，描述一件产生情绪的真实故事，并说明当时采取的有效措施是什么。
是什么让孩子获得幸福感和取得成功？,是什么让孩子获得幸福感和取得成功？
由于社会及家庭对特需的认知存在一定偏差，教师在学校培养孩子的良好习惯，家长对于孩子习惯的养成却不够重视，导致班里孩子的差距较大。有些家长不认为孩子特殊，教师得不到家长的积极配合，反复劝导，但收效甚微。教师缺乏专业指导，找不到好的办法去疏导心理行为偏差（攻击倾向、多动倾向、自闭倾向、缺乏自控力等）的学生。面对这种情况，老师们该如何与家长沟通，建立满足特殊学生需求的家校协作教育机制？,由于社会及家庭对特需的认知存在一定偏差，教师在学校培养孩子的良好习惯，家长对于孩子习惯的养成却不够重视，导致班里孩子的差距较大。有些家长不认为孩子特殊，教师得不到家长的积极配合，反复劝导，但收效甚微。教师缺乏专业指导，找不到好的办法去疏导心理行为偏差（攻击倾向、多动倾向、自闭倾向、缺乏自控力等）的学生。面对这种情况，老师们该如何与家长沟通，建立满足特殊学生需求的家校协作教育机制？
别怪孩子不爱写作业，什么样的家庭作业即有效又有趣呢？,别怪孩子不爱写作业，什么样的家庭作业即有效又有趣呢？
任何事情是不是做到一半都会有疲劳期！？？？,任何事情是不是做到一半都会有疲劳期！？？？
暑假回来上课孩子精力不集中怎么办？,暑假回来上课孩子精力不集中怎么办？
我班小A同学，回答问题没声音，上课总是低着头，就连做操也做不到位，全体同学朗诵时也是不张嘴，是不是缺乏自信呀，我们怎么帮助孩子呢？,我班小A同学，回答问题没声音，上课总是低着头，就连做操也做不到位，全体同学朗诵时也是不张嘴，是不是缺乏自信呀，我们怎么帮助孩子呢？
老师好，怎么我这两天不能签到，点不动任务栏？,老师好，怎么我这两天不能签到，点不动任务栏？
第十三周问题:你希望得到家长怎样的配合？遇到不配合的家长，你会怎样处理？有哪些方法促进老师与家长建立良好的关系?,第十三周问题:你希望得到家长怎样的配合？遇到不配合的家长，你会怎样处理？有哪些方法促进老师与家长建立良好的关系?
班里有个控制不住情绪的孩子，如果老师和同学不满足他，他就哭闹，影响上课，可怎么教育他。,班里有个控制不住情绪的孩子，如果老师和同学不满足他，他就哭闹，影响上课，可怎么教育他。
学生如何高效的利用学校时间？具体该怎么做呢？,学生如何高效的利用学校时间？具体该怎么做呢？
学生对待考试没有端正的态度，对学习不感兴趣我们如何怎样引导？,学生对待考试没有端正的态度，对学习不感兴趣我们如何怎样引导？
现在的一年级孩子，在和别人玩耍中受伤，总是和家长一起把所有责任都推给别人，而且一旦受伤，好像任何人都是他的敌人。大家怎么处理，教育的？,现在的一年级孩子，在和别人玩耍中受伤，总是和家长一起把所有责任都推给别人，而且一旦受伤，好像任何人都是他的敌人。大家怎么处理，教育的？
低年级是培养学生养成良好写字习惯的关键时期。虽然课堂上，重点进行了写字的指导，但是，一到实际写字时，有的学生并不是按你所讲的来写，对于这部分学生，良好书写习惯的培养，真是让人头疼。,低年级是培养学生养成良好写字习惯的关键时期。虽然课堂上，重点进行了写字的指导，但是，一到实际写字时，有的学生并不是按你所讲的来写，对于这部分学生，良好书写习惯的培养，真是让人头疼。
9模块三课程讨论:朱虹老师在本期视频中介绍了几个活动策略呢？您能回忆出一个印象最深刻的策略吗？,9模块三课程讨论:朱虹老师在本期视频中介绍了几个活动策略呢？您能回忆出一个印象最深刻的策略吗？
留守儿童的家教缺失，厌学甚至想辍学该怎么办,留守儿童的家教缺失，厌学甚至想辍学该怎么办
欢迎有经验的教师就性教育的方法如何实施在此展开讨论，共同研究家庭性教育，促进青少年的健康成长哦。,欢迎有经验的教师就性教育的方法如何实施在此展开讨论，共同研究家庭性教育，促进青少年的健康成长哦。
12模块三课程讨论:学习课程后，请老们尝试结合本班情况，总结帮助问题学生时可以采用哪有效策略？,12模块三课程讨论:学习课程后，请老们尝试结合本班情况，总结帮助问题学生时可以采用哪有效策略？
我用真心待你，但不执着于你活在缘分中，而非关系里。,我用真心待你，但不执着于你活在缘分中，而非关系里。
如何转化后进生？,如何转化后进生？
体育活动课如何加入微课，加到哪个环节？,体育活动课如何加入微课，加到哪个环节？
教师的“非常人”，就是我们要接纳每一个孩子，找到每个孩子的成长点。例如学生没有完成作业，我是认真了解原因？还是一味批评？我应当给他更多谅解还是鼓励？,教师的“非常人”，就是我们要接纳每一个孩子，找到每个孩子的成长点。例如学生没有完成作业，我是认真了解原因？还是一味批评？我应当给他更多谅解还是鼓励？
我既签到了，也完善个人资料了，为什么只有金币奖励，没有鲜花奖励,我既签到了，也完善个人资料了，为什么只有金币奖励，没有鲜花奖励
小学生的美术课，有更好的评价方式吗？调动学生的积极性，我想看到学生们对美术课的热情！,小学生的美术课，有更好的评价方式吗？调动学生的积极性，我想看到学生们对美术课的热情！
